Date,InTime,OutTime,Shift,Total Duration,Status,Remark
1-Jun-23,,,IT,0:00,Abent,
2-Jun-23,11:56,14:47,IT,2:51,WeeklyOff,
3-Jun-23,,,IT,0:00,WeeklyOff,
4-Jun-23,11:04,20:21,IT,9:17,present,
5-Jun-23,8:40,18:53,IT,9:24,present,
6-Jun-23,11:38,20:32,IT,8:54,present,
7-Jun-23,11:02,20:03,IT,9:01,present,
8-Jun-23,,,IT,0:00,present,
9-Jun-23,,,IT,0:00,present,
10-Jun-23,,,IT,0:00,present,
11-Jun-23,10:26,19:50,IT,9:24,present,
12-Jun-23,11:16,20:15,IT,8:59,present,
13-Jun-23,11:05,21:53,IT,10:48,present,
14-Jun-23,11:06,20:21,IT,9:14,present,
15-Jun-23,11:20,20:09,IT,8:49,present,
16-Jun-23,,,IT,10:48,present,
17-Jun-23,,,IT,9:14,present,
18-Jun-23,11:00,21:45,IT,8:49,present,
19-Jun-23,10:59,21:18,IT,0:00,WeeklyOff,
20-Jun-23,12:08,21:11,IT,0:00,WeeklyOff,
21-Jun-23,11:47,21:28,IT,9:03,present,
22-Jun-23,12:45,21:08,IT,8:23,present,
23-Jun-23,,,IT,0:00,present,
24-Jun-23,,,IT,0:00,present,
25-Jun-23,12:21,20:55,IT,8:34,WeeklyOff,
26-Jun-23,12:21,16:20,IT,3:59,WeeklyOff,
27-Jun-23,12:10,17:20,IT,4:59,WeeklyOff,
28-Jun-23,12:11,18:20,IT,5:59,present,
29-Jun-23,12:10,19:20,IT,6:59,present,
30-Jun-23,12:34,20:20,IT,7:59,present,